state,year,nationality,type,sex,agegrp,nPrisoners
A & N Islands,2009,Foreigners,Under Trials,Female,30-50,0
A & N Islands,2009,Foreigners,Under Trials,Female,50+,0
A & N Islands,2009,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2009,Foreigners,Under Trials,Male,18-30,48
A & N Islands,2009,Foreigners,Under Trials,Male,30-50,54
A & N Islands,2009,Foreigners,Under Trials,Male,50+,3
A & N Islands,2009,Indians,Convicts,Female,16-18,0
A & N Islands,2009,Indians,Convicts,Female,18-30,0
A & N Islands,2009,Indians,Convicts,Female,30-50,0
A & N Islands,2009,Indians,Convicts,Female,50+,0
A & N Islands,2009,Indians,Convicts,Male,16-18,0
A & N Islands,2009,Indians,Convicts,Male,18-30,5
A & N Islands,2009,Indians,Convicts,Male,30-50,36
A & N Islands,2009,Indians,Convicts,Male,50+,7
A & N Islands,2009,Indians,Under Trials,Female,16-18,0
A & N Islands,2009,Indians,Under Trials,Female,18-30,0
A & N Islands,2009,Indians,Under Trials,Female,30-50,0
A & N Islands,2009,Indians,Under Trials,Female,50+,0
A & N Islands,2009,Indians,Under Trials,Male,16-18,0
A & N Islands,2009,Indians,Under Trials,Male,18-30,21
A & N Islands,2009,Indians,Under Trials,Male,30-50,49
A & N Islands,2009,Indians,Under Trials,Male,50+,5
A & N Islands,2010,Foreigners,Convicts,Female,16-18,0
A & N Islands,2010,Foreigners,Convicts,Female,18-30,0
A & N Islands,2010,Foreigners,Convicts,Female,30-50,0
A & N Islands,2010,Foreigners,Convicts,Female,50+,0
A & N Islands,2010,Foreigners,Convicts,Male,16-18,0
A & N Islands,2010,Foreigners,Convicts,Male,18-30,17
A & N Islands,2010,Foreigners,Convicts,Male,30-50,46
A & N Islands,2010,Foreigners,Convicts,Male,50+,9
A & N Islands,2010,Foreigners,Under Trials,Female,16-18,0
A & N Islands,2010,Foreigners,Under Trials,Female,18-30,0
A & N Islands,2010,Foreigners,Under Trials,Female,30-50,0
A & N Islands,2010,Foreigners,Under Trials,Female,50+,0
A & N Islands,2010,Foreigners,Under Trials,Male,16-18,0
A & N Islands,2010,Foreigners,Under Trials,Male,18-30,227
A & N Islands,2010,Foreigners,Under Trials,Male,30-50,246
A & N Islands,2010,Foreigners,Under Trials,Male,50+,21
A & N Islands,2010,Indians,Convicts,Female,16-18,0
A & N Islands,2010,Indians,Convicts,Female,18-30,0
A & N Islands,2010,Indians,Convicts,Female,30-50,0
A & N Islands,2010,Indians,Convicts,Female,50+,0
